tenure,MonthlyCharges,ExtraCharges,SeniorCitizen_Yes,Partner_Yes,Dependents_Yes,PhoneService_No,PhoneService_OneLine,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn
0.9647870937399088,1.4026787952385802,-0.995858845578194,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,No
-0.41628822023919726,1.066588489665916,-0.6684431898829648,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,Yes
-0.5381478067667654,-1.4890288834014747,-0.30970302954263373,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,No
-1.2693053259321745,-1.4740545628561579,-0.0054078415616501405,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,No
-0.09132932283234879,-0.5273447417133552,1.0797624979293587,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,No
0.8023076450364846,-1.4823736298257784,0.49503841122080067,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,No
0.8023076450364846,-0.046502670869295305,0.7918753838100918,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,No
-1.1880656015804623,0.4609604142775498,0.09229478006949927,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,Yes
-1.2693053259321745,0.18809501767400022,-0.0054078415616501405,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Yes
-1.1474457394046063,-0.5090427943801902,0.3264827433685897,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Yes
0.8835473693881967,0.7171876769418586,-1.9557311664887898,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,No
-0.2944286337116291,-1.4807098164318544,0.48086780197659007,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,No
-1.2286854637563185,0.9717511262122429,0.1295858570279532,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,Yes
1.127266542443333,0.4775985482167906,0.905986079302969,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,No
0.8023076450364846,-0.971582917891085,1.7181857354580892,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,No
-1.2286854637563185,-1.5123222709164117,-0.023307558501707952,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,No
1.6147048885536057,1.740432914205169,2.5900511147467418,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,No
-1.1068258772287503,0.6839114090633769,0.7225139806673704,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,Yes
1.0460268180916208,0.8952157100917352,3.0039820689855805,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,No
-0.5787676689426214,-1.0364716402541243,-0.050157133911794834,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,Yes
-0.2944286337116291,0.8153526671833795,0.4271686511564152,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,Yes
-0.3756683580633412,0.6572903947605917,-0.07029431546936199,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,No
0.3961090232779239,1.3810492211175676,0.8060459930543017,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,Yes
1.3303658533226133,1.306177618390984,0.19745561709234455,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,No
-1.2693053259321745,0.5075471893074243,-0.0054078415616501405,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,Yes
1.4928453020260375,0.48425380179248706,-0.6639682606479544,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,No
-0.09132932283234879,-1.4624078690986893,-0.5110748451182848,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,No
0.43672888545377997,0.6805837822755285,0.03859562924932954,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,No
1.3709857154984693,1.3111690585727558,0.3331951372211086,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,Yes
